angle,count,average_distance
0,122,1.7060664140927837
1,63,1.6234139612416
2,40,1.5885121001711213
3,38,1.6597001318084488
4,40,1.4140917831560254
5,39,1.6437836401140227
6,45,1.43835725014404
7,58,1.3813605181966517
8,32,1.2211156312496
9,18,1.1693218804071333
10,44,1.3986100246551731
11,77,1.4751248720907886
12,159,1.362883731470869
13,67,1.1708225288980822
14,81,1.013099980542386
15,81,0.9442932303363986
16,61,0.9322215303036008
17,45,0.9247800746173368
18,79,0.9903296428632247
19,66,0.9932905173919198
20,79,1.320578585658417
21,56,1.2892107909481172
22,54,1.1910377662556737
23,60,1.2653003394404303
24,58,1.1867881143419958
25,51,1.3337619438404733
26,51,1.0864744571151717
27,36,1.0990115358911807
28,37,1.1830059875116157
29,60,1.1902632086819993
30,47,1.263469574142362
31,19,1.1631944733910957
32,18,1.292606640311763
33,33,1.0931928878825499
34,38,1.3636156412550566
35,100,1.5632877259629838
36,85,1.6388253208850787
37,47,1.4672586556616438
38,30,1.3737447494272048
39,39,1.3685030025990017
40,30,1.3391114899422658
41,37,1.2327612814886482
42,54,1.3520122510683483
43,35,1.4931938964667697
44,33,1.4941625135425665
45,63,1.421880395559631
46,125,1.3737179205127432
47,119,1.3697619591608763
48,94,1.2776462202347556
49,56,1.2923093710222626
50,49,1.3304956788005045
51,15,1.3226412685442064
52,32,1.2205163951029612
53,16,1.2947405631716609
54,2,1.277325521008028
55,3,0.8733773580026966
56,2,0.20253305454267903
57,1,nan
58,0,nan
59,1,nan
60,1,nan
61,0,nan
62,1,nan
63,1,nan
64,1,nan
65,0,nan
66,0,nan
67,1,nan
68,2,0.18796137828126944
69,1,nan
70,3,0.11135996409193305
71,1,nan
72,2,0.11927083591678538
73,0,nan
74,2,0.16715853504232342
75,3,0.10573523306347053
76,2,0.2416891422432853
77,2,0.17972690630238916
78,1,nan
79,1,nan
80,3,0.15070118666535592
81,5,0.17628063163598434
82,1,nan
83,1,nan
84,3,0.18383315245327173
85,2,0.1413465499672489
86,1,nan
87,1,nan
88,2,0.18373621166431137
89,2,0.13483358748758584
90,2,0.13396957174066682
91,1,nan
92,1,nan
93,0,nan
94,2,0.16974180594699453
95,0,nan
96,1,nan
97,1,nan
98,3,0.18153087780285895
99,0,nan
100,0,nan
101,0,nan
102,0,nan
103,0,nan
104,1,nan
105,2,0.19413717967990252
106,0,nan
107,0,nan
108,1,nan
109,1,nan
110,0,nan
111,0,nan
112,0,nan
113,0,nan
114,0,nan
115,0,nan
116,0,nan
117,0,nan
118,0,nan
119,0,nan
120,2,0.17000442680706196
121,0,nan
122,1,nan
123,3,0.22045088287517245
124,1,nan
125,1,nan
126,2,0.2633604432080308
127,1,nan
128,1,nan
129,0,nan
130,3,0.2540643565686389
131,5,0.22954086146006966
132,2,0.2918399569266251
133,1,nan
134,6,0.24171856647331993
135,3,0.23576838926656385
136,2,0.30391084267267215
137,1,nan
138,0,nan
139,0,nan
140,1,nan
141,4,0.2053291822722003
142,5,0.1991208267133503
143,3,0.2884408401654449
144,4,0.26172197279823106
145,2,0.391788921699899
146,5,0.38533334683035153
147,4,0.3620929933569296
148,3,0.4042667377238592
149,9,0.43792244175809786
150,8,0.5108524609269545
151,12,0.41456410377893776
152,10,0.42711577491505015
153,9,0.47614163738749965
154,13,0.5019208384370326
155,9,0.4943722308849532
156,14,0.5569270343649713
157,7,0.5745543261696326
158,16,0.6726734238542804
159,10,0.7774363561157643
160,65,0.9545115560755768
161,34,0.8787768159034794
162,40,0.8375924999174241
163,72,0.8375151811047339
164,46,0.8468894671498883
165,63,0.9604920381953297
166,175,0.9661638785934532
167,186,1.0281007739008707
168,237,1.127048862564046
169,229,1.3948032204800633
170,260,1.7682872282027702
171,163,1.852083724088122
172,104,1.8914604052535775
173,32,1.1356299054641594
174,31,1.205126062313141
175,39,1.1728622154900135
176,15,0.9798582248903246
177,57,1.1333282753298004
178,36,1.35321410765544
179,52,1.5155965015126764
180,114,1.6291336433062873
181,376,1.4659142163174363
182,394,1.261614253448472
183,569,1.1962068450660008
184,469,1.3752170521786706
185,315,1.3591135027162706
186,254,1.3946113101506274
187,221,1.485934294626987
188,221,1.9358795328327774
189,170,1.738997615460293
190,301,1.6223743306753398
191,337,1.548575807856462
192,232,1.6219992277608701
193,216,1.6943395448402283
194,235,1.4966554741865532
195,151,1.7225821060172966
196,121,1.802125114560633
197,216,2.0943455204320247
198,191,1.8719648243126967
199,133,1.573284789366048
200,138,1.8771878047953046
201,286,2.1005724251165963
202,268,2.1361430779106887
203,73,1.8344383657600665
204,125,1.7739397622799453
205,67,1.5823409873021923
206,34,1.3365881783816669
207,75,1.4939351057668355
208,21,1.3927370025645636
209,38,0.8024093017002986
210,38,1.2815003001883631
211,26,1.235020758400308
212,56,1.2000252800457059
213,85,1.362448283008956
214,53,1.2832005852493413
215,72,1.148058962348863
216,35,1.0802788202714482
217,26,1.1474641521669882
218,27,1.4548221441467635
219,49,1.1491580102122023
220,83,1.231034486974151
221,82,1.2619703728544012
222,55,1.1932715004457275
223,43,1.1435928519594762
224,31,1.303382215989578
225,56,1.128572024561518
226,73,1.1425535388156587
227,74,1.136983820610276
228,68,1.0266479188591342
229,32,0.7878655840154909
230,43,0.8374172453672258
231,41,0.7381163529182913
232,52,0.8356640556516093
233,53,0.7113328295429595
234,25,0.8069674514923202
235,43,0.7900754819084972
236,50,0.6281805694062398
237,43,0.6874162240102323
238,42,0.6826776475162455
239,39,0.7062113135255106
240,26,0.593412918333943
241,37,0.6526347546751695
242,25,0.7436828078450111
243,19,0.6668510615136413
244,34,0.7226447009732281
245,51,0.7868684744625539
246,31,0.7622073481933468
247,43,0.7438140948364008
248,22,0.6807440615132624
249,16,0.8239170959336971
250,20,0.769349399343594
251,14,0.6846855760503879
252,14,0.8229251557269921
253,2,0.5258436811038414
254,6,0.5257336236810642
255,2,0.5748331791430465
256,9,0.6796050785227278
257,3,0.4733814244569601
258,2,0.46045344820765655
259,1,nan
260,1,nan
261,1,nan
262,0,nan
263,0,nan
264,0,nan
265,2,0.17525325546619674
266,1,nan
267,0,nan
268,2,0.14792577203706536
269,1,nan
270,0,nan
271,1,nan
272,1,nan
273,0,nan
274,0,nan
275,0,nan
276,0,nan
277,1,nan
278,0,nan
279,0,nan
280,0,nan
281,1,nan
282,0,nan
283,0,nan
284,2,0.1468004602641071
285,3,0.15511735438494959
286,2,0.1993861825136667
287,0,nan
288,1,nan
289,2,0.18355463902292707
290,4,0.181177217632427
291,6,0.19897066511213068
292,1,nan
293,4,0.17299093768445928
294,6,0.1575642411531972
295,2,0.2055927065053258
296,1,nan
297,2,0.18362762571769492
298,2,0.20003006839694723
299,0,nan
300,0,nan
301,3,0.21031823809304137
302,1,nan
303,5,0.218849971541106
304,5,0.21825844321286453
305,1,nan
306,3,0.2122295320339754
307,9,0.2105046248600271
308,5,0.22369801321299138
309,12,0.23822835748927176
310,26,0.24724001329366826
311,16,0.25623332104916047
312,10,0.23312775263848096
313,13,0.24952677398773979
314,21,0.2529667350573939
315,22,0.2708129868743404
316,17,0.28665845953877317
317,8,0.2766715782173817
318,26,0.2920965907190097
319,24,0.29249788772864066
320,25,0.29518281221612686
321,23,0.29846670050059215
322,21,0.3013330111413514
323,16,0.31242198189823966
324,24,0.3245919335379172
325,12,0.3182368666622205
326,9,0.3392088689308206
327,14,0.3534725754021184
328,17,0.35351646191686864
329,11,0.3568008204382091
330,7,0.3236693398845637
331,48,0.38046512180363984
332,52,0.38164883630108287
333,40,0.49847827196776995
334,56,0.45003108415334153
335,49,0.49183694333600014
336,60,0.4840347054353494
337,46,0.550388028567909
338,77,0.5839496910256401
339,163,0.8039503453348436
340,159,0.8547327096902856
341,72,0.6638923128458845
342,61,0.6798464135961243
343,122,0.6739304023307156
344,142,0.9089643739605966
345,120,0.8951251754036774
346,160,0.8710191287153105
347,149,1.0110836695236545
348,160,1.014329830943571
349,207,0.9853798117784104
350,263,1.1076254818964473
351,345,1.225753246351093
352,135,1.3891675632788199
353,63,1.533882662124534
354,31,1.4584909798116656
355,36,1.5691904306658726
356,40,1.4575732641816086
357,34,1.426093570747883
358,39,1.4603545565425513
359,69,1.5891112201853081
